Date,Clicks,Impressions,CTR,Position
2025-09-20,0,307,0%,41.54
2025-09-19,1,193,0.52%,36.33
2025-09-18,0,214,0%,27.09
2025-09-17,2,269,0.74%,31.84
2025-09-16,5,293,1.71%,36.47
2025-09-15,3,194,1.55%,25.23
2025-09-14,1,186,0.54%,33.35
2025-09-13,0,182,0%,36.95
2025-09-12,1,210,0.48%,39.89
2025-09-11,2,462,0.43%,44.44
2025-09-10,1,479,0.21%,46.26
2025-09-09,0,578,0%,50.78
2025-09-08,1,628,0.16%,48.04
2025-09-07,1,669,0.15%,53.13
2025-09-06,0,725,0%,51.12
2025-09-05,1,627,0.16%,52.49
2025-09-04,2,787,0.25%,48.6
2025-09-03,1,678,0.15%,50.19
2025-09-02,0,1046,0%,50.67
2025-09-01,1,850,0.12%,54.32
2025-08-31,0,737,0%,55.98
2025-08-30,0,843,0%,54.74
2025-08-29,1,690,0.14%,52.97
2025-08-28,0,919,0%,48.41
2025-08-27,4,735,0.54%,52.06
2025-08-26,2,504,0.4%,56.26
2025-08-25,0,52,0%,78.31
2025-08-24,0,100,0%,80.56
2025-08-23,0,168,0%,78.46
2025-08-22,0,101,0%,77.88
2025-08-21,0,132,0%,74.95
2025-08-20,0,82,0%,77.79
2025-08-19,0,54,0%,79.54
2025-08-18,0,86,0%,76.38
2025-08-17,0,54,0%,74.06
2025-08-16,0,105,0%,71.07
2025-08-15,0,80,0%,79.84
2025-08-14,0,88,0%,77.61
2025-08-13,0,87,0%,77.44
2025-08-12,0,85,0%,77.58
2025-08-11,0,85,0%,76.73
2025-08-10,0,75,0%,75.57
2025-08-09,0,105,0%,72.47
2025-08-08,0,74,0%,78.2
2025-08-07,0,286,0%,52.27
2025-08-06,0,603,0%,48.54
2025-08-05,0,394,0%,53.59
2025-08-04,0,104,0%,82.08
2025-08-03,1,248,0.4%,61.41
2025-08-02,0,356,0%,55.08
2025-08-01,0,84,0%,79.58
2025-07-31,0,423,0%,55.22
2025-07-30,0,393,0%,52.99
2025-07-29,0,120,0%,78.96
2025-07-28,0,115,0%,77.72
2025-07-27,0,82,0%,78.94
2025-07-26,0,98,0%,74.33
2025-07-25,0,301,0%,54.91
2025-07-24,0,515,0%,50.18
2025-07-23,0,90,0%,73.54
2025-07-22,0,107,0%,72.15
2025-07-21,0,229,0%,57.17
2025-07-20,1,515,0.19%,54.03
2025-07-19,0,79,0%,78.32
2025-07-18,0,248,0%,53.84
2025-07-17,1,448,0.22%,47.27
2025-07-16,0,196,0%,51.95
2025-07-15,0,64,0%,75.75
2025-07-14,1,213,0.47%,58.95
2025-07-13,0,247,0%,52.83
2025-07-12,0,89,0%,81.01
2025-07-11,1,278,0.36%,54.56
2025-07-10,0,592,0%,44.4
2025-07-09,1,314,0.32%,47.88
2025-07-08,0,217,0%,60.37
2025-07-07,0,502,0%,50.23
2025-07-06,1,224,0.45%,50.01
2025-07-05,0,103,0%,78.64
2025-07-04,0,58,0%,78.12
2025-07-03,0,96,0%,73.84
2025-07-02,0,63,0%,66.73
2025-07-01,0,54,0%,80.61
2025-06-30,0,38,0%,84.29
2025-06-29,0,43,0%,83.26
2025-06-28,0,12,0%,82.75
2025-06-27,0,4,0%,55.75
2025-06-26,0,2,0%,12
2025-06-25,0,2,0%,33.5
2025-06-24,0,1,0%,23
2025-06-23,0,1,0%,22
2025-06-22,0,3,0%,44
2025-06-21,0,0,0%,0
