Top pages,Clicks,Impressions,CTR,Position
https://www.mediaplanningtool.com/commspoint-journey,12,387,3.1%,7.82
https://www.mediaplanningtool.com/commspoint-influence,7,402,1.74%,7.41
https://www.mediaplanningtool.com/mediatool,5,526,0.95%,29.63
https://www.mediaplanningtool.com/,2,3467,0.06%,64.01
https://www.mediaplanningtool.com/mediaplanhq,2,234,0.85%,20.18
https://www.mediaplanningtool.com/guideline,2,148,1.35%,7.44
https://www.mediaplanningtool.com/scarborough,2,115,1.74%,38.72
https://www.mediaplanningtool.com/advantage,1,173,0.58%,38
https://www.mediaplanningtool.com/tools/nielsen-media-impact,1,94,1.06%,21.59
https://www.mediaplanningtool.com/bluhorn,1,49,2.04%,9.1
https://www.mediaplanningtool.com/optalx,1,33,3.03%,7.45
https://www.mediaplanningtool.com/halliard,1,24,4.17%,7.54
https://www.mediaplanningtool.com/adobe-advertising-cloud,0,7097,0%,59.06
https://www.mediaplanningtool.com/gwi,0,2417,0%,51.51
https://www.mediaplanningtool.com/the-trade-desk,0,1846,0%,67.02
https://www.mediaplanningtool.com/linkedin-campaign-manager,0,1138,0%,54.3
https://www.mediaplanningtool.com/google-dv360,0,1133,0%,76.09
https://www.mediaplanningtool.com/tags/media-planning,0,918,0%,82.26
https://www.mediaplanningtool.com/quantcast,0,860,0%,51.7
https://www.mediaplanningtool.com/comscore,0,742,0%,29.75
https://www.mediaplanningtool.com/mediaocean,0,643,0%,41.09
https://www.mediaplanningtool.com/mri-simmons,0,510,0%,61.77
https://www.mediaplanningtool.com/amazon-dsp,0,363,0%,70.56
https://www.mediaplanningtool.com/bionic,0,358,0%,22.7
https://www.mediaplanningtool.com/nielsen-media-impact,0,264,0%,15.79
https://www.mediaplanningtool.com/northbeam,0,259,0%,49.64
https://www.mediaplanningtool.com/resonate,0,255,0%,39.87
https://www.mediaplanningtool.com/strata,0,233,0%,28.26
https://www.mediaplanningtool.com/keen,0,216,0%,32.35
https://www.mediaplanningtool.com/tools/commspoint-influence/,0,145,0%,8.57
https://www.mediaplanningtool.com/akkio,0,132,0%,57.73
https://www.mediaplanningtool.com/criteo,0,121,0%,64.19
https://www.mediaplanningtool.com/galeforce-media,0,104,0%,25.67
https://www.mediaplanningtool.com/tags/media-buying,0,103,0%,73.71
https://www.mediaplanningtool.com/srds-media-planning,0,91,0%,48.58
https://www.mediaplanningtool.com/simulmedia,0,84,0%,45.39
https://www.mediaplanningtool.com/recast,0,77,0%,20.09
https://www.mediaplanningtool.com/blog/top-10-post-campaign-reporting-tools-2025/,0,77,0%,69.25
https://www.mediaplanningtool.com/telmar-helixa,0,71,0%,42.01
https://www.mediaplanningtool.com/basis,0,56,0%,61.84
https://www.mediaplanningtool.com/tools/optimine/,0,53,0%,51.91
https://www.mediaplanningtool.com/optimine,0,48,0%,46.35
https://www.mediaplanningtool.com/placements-io,0,47,0%,38.36
https://www.mediaplanningtool.com/briefbid,0,45,0%,7.58
https://www.mediaplanningtool.com/tools/nielsen-media-impact/,0,44,0%,19.5
https://www.mediaplanningtool.com/2025-guide,0,43,0%,42.6
https://www.mediaplanningtool.com/blog/2025-01-15-top-10-post-campaign-reporting-tools-2025,0,30,0%,64.27
https://www.mediaplanningtool.com/mint,0,26,0%,69.27
https://www.mediaplanningtool.com/meta-business-manager,0,17,0%,55.41
https://www.mediaplanningtool.com/mediabrain,0,16,0%,33.5
https://www.mediaplanningtool.com/tools/bionic,0,14,0%,30.93
https://www.mediaplanningtool.com/multinex,0,14,0%,48.36
https://www.mediaplanningtool.com/tags/media-planners,0,14,0%,72.79
https://www.mediaplanningtool.com/tags/mmm,0,13,0%,85.31
https://www.mediaplanningtool.com/tiktok-ads-manager,0,13,0%,91
https://www.mediaplanningtool.com/tags/audience-analytics,0,12,0%,76.67
https://www.mediaplanningtool.com/tags/budget-planning,0,10,0%,24.1
https://www.mediaplanningtool.com/tools/mediaplanhq/,0,7,0%,21.29
https://www.mediaplanningtool.com/blog,0,7,0%,57.29
https://www.mediaplanningtool.com/tools/telmarhelixa/,0,6,0%,20.83
https://www.mediaplanningtool.com/clickup,0,5,0%,24
https://www.mediaplanningtool.com/tags/multi-channel,0,5,0%,56
https://www.mediaplanningtool.com/tools/commspoint-influence,0,4,0%,4.25
https://www.mediaplanningtool.com/tags/fast,0,4,0%,7.25
https://www.mediaplanningtool.com/legal/terms-of-service,0,4,0%,8
https://www.mediaplanningtool.com/legal/privacy-policy,0,4,0%,9.25
https://www.mediaplanningtool.com/tools/mediatool/,0,3,0%,10
https://www.mediaplanningtool.com/tools/galeforce-media/,0,3,0%,67.33
https://www.mediaplanningtool.com/tools/keen,0,2,0%,3
https://www.mediaplanningtool.com/categories/web,0,2,0%,15
https://www.mediaplanningtool.com/categories/guide,0,2,0%,15.5
https://www.mediaplanningtool.com/blog/7-essential-media-planning-tools-for-marketing-teams/,0,2,0%,22.5
https://www.mediaplanningtool.com/tools/bionic/,0,1,0%,5
https://www.mediaplanningtool.com/tools/simulmedia/,0,1,0%,6
https://www.mediaplanningtool.com/tags/reach-frequency,0,1,0%,7
https://www.mediaplanningtool.com/tools/strata/,0,1,0%,7
https://www.mediaplanningtool.com/tools/halliard,0,1,0%,8
https://www.mediaplanningtool.com/tools/quantcast/,0,1,0%,9
https://www.mediaplanningtool.com/blog/best-practices-for-real-time-campaign-monitoring/,0,1,0%,10
https://www.mediaplanningtool.com/tools/bluhorn/,0,1,0%,10
https://www.mediaplanningtool.com/tools/measured/,0,1,0%,12
https://www.mediaplanningtool.com/tools/multinex/,0,1,0%,13
